"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"744","Samsung blames batteries for Note 7 failures with proof
https://t.co/XlCTghsBtM
#Samsung #GalaxyNote7 #LGG6",FALSE,0,NA,2017-01-17 12:01:15,FALSE,NA,"821326514172133377",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","LynnSchindler",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/344513261568031954/f1bf68e6c83b60f4e5a7a478b8f3649e_normal.jpeg"
"745","Samsung blames batteries for Note 7 failures with proof
https://t.co/n5cr6TRats
#Samsung #GalaxyNote7 #LGG6",FALSE,0,NA,2017-01-17 12:01:15,FALSE,NA,"821326514096586752",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","Juliasocl",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/344513261568080491/33dfbf942ce844d6fdd79b4c1f786195_normal.jpeg"
"746","Samsung blames batteries for Note 7 failures with proof
https://t.co/dOoEcuOMvc
#Samsung #GalaxyNote7 #LGG6",FALSE,0,NA,2017-01-17 12:01:05,FALSE,NA,"821326471943684096",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","inferse",0,FALSE,FALSE,NA,NA,"United States","en","http://pbs.twimg.com/profile_images/651316880636952578/wEQ8OQGv_normal.png"
"747","Everything we think we know about the Samsung Galaxy S8 https://t.co/ib4mQyrXxw via @mashable @MidComms2 #TechTuesday #o2Cleveleys #Samsung",FALSE,1,NA,2017-01-17 12:01:01,FALSE,NA,"821326457075093505",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","cleveleysguru",1,FALSE,FALSE,NA,NA,"https://www.facebook.com/james","en","http://pbs.twimg.com/profile_images/772857375439159296/XVnq9CX__normal.jpg"
"748","RT @boulanger: RT&amp;Follow pour tenter de remporter le #Samsung S7 Edge Bleu corail !
Découvrez le vite <U+27A1><U+FE0F> https://t.co/nOoR89Hjja https://t.…",FALSE,0,NA,2017-01-17 12:00:51,FALSE,NA,"821326416159641601",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bronnorkiss",1332,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/540513688432541696/wtEHqxoq_normal.png"
"749","RT @LuminousPR: #Samsung's next flagship phone is on its way. @MashableUK shares some of what they think they know https://t.co/vWOFpjr8Sl…",FALSE,0,NA,2017-01-17 12:00:49,FALSE,NA,"821326405011144704",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","franckart885",1,TRUE,FALSE,NA,NA,"san francisco","en","http://pbs.twimg.com/profile_images/749746290544746496/IPAS4QXJ_normal.jpg"
"750","After 22 hrs of questioning, prosecutors seek #arrest of #Samsung chief https://t.co/9rIcQGDGwG
#SouthKorea #Bribery #JayYLee",FALSE,0,NA,2017-01-17 12:00:47,FALSE,NA,"821326397411037185",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","iammeganlee",0,FALSE,FALSE,NA,NA,"Los Angeles, CA","en","http://pbs.twimg.com/profile_images/672720953609089024/_3FhzKSD_normal.jpg"
"751","RT @boulanger: RT&amp;Follow pour tenter de remporter le #Samsung S7 Edge Bleu corail !
Découvrez le vite <U+27A1><U+FE0F> https://t.co/nOoR89Hjja https://t.…",FALSE,0,NA,2017-01-17 12:00:43,FALSE,NA,"821326383511203840",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Sophie63226316",1332,TRUE,FALSE,NA,NA,"","fr","http://pbs.twimg.com/profile_images/595262505473155073/CaEA5GXI_normal.jpg"
"752","RT @boulanger: RT&amp;Follow pour tenter de remporter le #Samsung S7 Edge Bleu corail !
Découvrez le vite <U+27A1><U+FE0F> https://t.co/nOoR89Hjja https://t.…",FALSE,0,NA,2017-01-17 12:00:41,FALSE,NA,"821326373830717440",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sarfatissime",1332,TRUE,FALSE,NA,NA,"","fr","http://pbs.twimg.com/profile_images/811203518958800896/shuq7dsM_normal.jpg"
"753","#Samsung #GalaxyC9Pro with 6GB RAM hits India https://t.co/uHmSKbymZA https://t.co/vVoOHWe4Vr",FALSE,0,NA,2017-01-17 12:00:39,FALSE,NA,"821326364418523139",NA,"<a href=""http://www.techshout.com"" rel=""nofollow"">TechShout</a>","techshout",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/378800000021265665/2a7458c42133dd4f461ffc1a57dd9da3_normal.png"
"754","Samsung Galaxy S7 edge Case S-View Clear https://t.co/hXVYtW7vtv #Samsung #Galaxy #S7 #edge #Ca https://t.co/vXzsnJsRGU",FALSE,0,NA,2017-01-17 12:00:35,FALSE,NA,"821326347675045888",NA,"<a href=""http://price-scanner.com"" rel=""nofollow"">PriceScanner15</a>","PS_Wireless",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/724354803422240768/GDnXQNXc_normal.jpg"
"755","RT @boulanger: RT&amp;Follow pour tenter de remporter le #Samsung S7 Edge Bleu corail !
Découvrez le vite <U+27A1><U+FE0F> https://t.co/nOoR89Hjja https://t.…",FALSE,0,NA,2017-01-17 12:00:30,FALSE,NA,"821326325558280192",NA,"<a href=""https://node-lab.xyz"" rel=""nofollow"">BotTwitterAga</a>","LizJailan",1332,TRUE,FALSE,NA,NA,"","fr","http://abs.twimg.com/sticky/default_profile_images/default_profile_1_normal.png"
